infered_area_id,total_ubertaxi_rides,total_yellowtaxi_rides,infered_area_geometry,market_potential
98,40,69,"POLYGON ((-73.97710699999999 40.787767, -73.9756 40.7869, -73.973977 40.787332, -73.9738 40.7874, -73.9723 40.7939, -73.973538 40.794685, -73.974118 40.794105, -73.97499999999999 40.793067, -73.97619 40.791497, -73.97710699999999 40.787767))",0.6330275229357798
99,7,8,"POLYGON ((-73.99209999999999 40.7707, -73.9919 40.7698, -73.99160000000001 40.7698, -73.990257 40.76992199999999, -73.989878 40.770178, -73.990532 40.770677, -73.99209999999999 40.7707))",0.5333333333333333
100,30,6,"POLYGON ((-74.00539999999999 40.712, -74.00630200000001 40.712197, -74.00683000000001 40.711842, -74.0072 40.7108, -74.00579999999999 40.7108, -74.0052 40.7111, -74.0052 40.7116, -74.00539999999999 40.712))",0.16666666666666666
101,65,16,"POLYGON ((-74.0094 40.7376, -74.0093 40.737, -74.008329 40.736989, -74.0073 40.7375, -74.008062 40.73950300000001, -74.00809699999999 40.73954699999999, -74.00920000000001 40.7388, -74.0094 40.7381, -74.0094 40.7376))",0.19753086419753085
102,12,11,"POLYGON ((-73.98009999999999 40.7881, -73.9796 40.7878, -73.97895699999999 40.787567, -73.9785 40.7877, -73.97790000000001 40.788, -73.9776 40.7885, -73.97757 40.788795, -73.97760699999999 40.789118, -73.97790000000001 40.7892, -73.98009999999999 40.7882, -73.98009999999999 40.7881))",0.4782608695652174
103,4,15,"POLYGON ((-73.97784300000001 40.783982, -73.977903 40.783762, -73.977799 40.783802, -73.97742599999999 40.784201, -73.97605300000001 40.786182, -73.9764 40.786, -73.9772 40.7852, -73.97784300000001 40.783982))",0.7894736842105263
104,8,13,"POLYGON ((-73.97790000000001 40.7874, -73.978617 40.785837, -73.97713 40.786013, -73.97709999999999 40.7866, -73.9773 40.7872, -73.97790000000001 40.7874))",0.6190476190476191
105,9,6,"POLYGON ((-73.9739 40.7799, -73.9752 40.7802, -73.97499999999999 40.78, -73.973857 40.779177, -73.973822 40.779182, -73.97329999999999 40.7797, -73.9739 40.7799))",0.4
106,6,12,"POLYGON ((-73.980244 40.785521, -73.9802 40.7853, -73.97959200000001 40.785392, -73.979457 40.786102, -73.97942500000001 40.786907, -73.97991400000001 40.786325, -73.98013 40.785967, -73.9802 40.7857, -73.980244 40.785521))",0.6666666666666666
107,2,13,"POLYGON ((-73.979507 40.784322, -73.978675 40.7854, -73.9789 40.7855, -73.97936 40.78502, -73.9795 40.784665, -73.979507 40.784322))",0.8666666666666667
108,20,16,"POLYGON ((-73.9787 40.7765, -73.977 40.7767, -73.97704 40.776784, -73.97854 40.77795, -73.97965500000001 40.778158, -73.979877 40.777983, -73.979685 40.777472, -73.979315 40.776782, -73.9787 40.7765))",0.4444444444444444
109,17,19,"POLYGON ((-73.974204 40.778708, -73.9747 40.779, -73.9765 40.7764, -73.97669999999999 40.7752, -73.975762 40.775868, -73.974226 40.778528, -73.974204 40.778708))",0.5277777777777778
110,14,1,"POLYGON ((-73.99169999999999 40.7677, -73.991 40.7676, -73.991035 40.767662, -73.9915 40.7681, -73.99169999999999 40.7681, -73.99169999999999 40.7677))",0.06666666666666667
